,annotation_id,id,text,class,label
941,56617001,1889236798628368828,"Heute, fast drei Jahre nach dem Beginn dieses Krieges, muss man feststellen: Es sind Zeiten ohne Wende geblieben.",Propaganda,1
962,56119366,1888697692064202977,Wir trauen diesem Land viel zu.,Propaganda,1
1010,56122653,1880633365831057756,In Hannover startet heute unsere Wahlkampftour.,Non-Propaganda,0
1230,56621534,1882779205957718501,"Als Opposition ist es unsere Aufgabe im Bundestag, die Regierung zu kontrollieren.",Non-Propaganda,0
1012,56069004,1884370673096667586,Wir handeln europäisch.,Propaganda,1
859,56615525,1891585945427755010,Heute geht es weiter mit den TV-Debatten:,Non-Propaganda,0
974,56123108,1874047808824549474,Für eine vernünftige Energiepolitik ohne Zwang.,Propaganda,1
1929,56303286,1887095263514222984,Und die SPD macht da auch noch mit...,Non-Propaganda,0
290,56617167,1890318938317189233,US-Vizepräsident JDVance fordert ein Ende der Brandmauer!,Non-Propaganda,0
31,56615562,1888539119585779765,"Hat die letzte Woche doch eins deutlich gemacht: Die Grünen sind nicht an einer sachlichen Diskussion über notwendige Problemlösungen interessiert, sondern engagieren sich lieber in einer Schmutzkampagne",Propaganda,1
564,56126588,1892989572373479542,Weitere Belastungen für Bürger und Unternehmen können und wollen wir uns nicht leisten.,Propaganda,1
628,56123585,1892514782093115843,"Bei Grundnahrungsmitteln, Bedarf für Kinder und für die Gastronomie.",Non-Propaganda,0
119,56617917,1884654444718985274,"Heute ist ein Tag, an den wir uns noch in zehn Jahren erinnern werden.",Non-Propaganda,0
1161,56620471,1880653831618634059,"Das sind die beiden, die für dieses Desaster verantwortlich sind.",Propaganda,1
538,56117843,1874799531277095363,"Personen wurden wegen Angriffen auf Einsatzkräfte, illegaler Pyrotechnik und anderer Straftaten festgenommen.",Non-Propaganda,0
260,56122994,1884675820150567128,"Ein Tag, der sich ins Gedächtnis der parlamentarischen Demokratie in Deutschland eingraben wird und, wir befürchten, in die Geschichte unseres Landes.",Propaganda,1
1948,56621828,1892209152568537419,Wie viele sinnlose Sanktionspakete soll es noch geben?,Propaganda,1
1555,56066911,1889201030740557955,Jetzt halt doch mal den Mund!,Propaganda,1
382,56068358,1892299510828708314,"Und damit: sinkende Investitionen in den Standort und zahlreiche Unternehmen, die Mitarbeiterinnen und Mitarbeiter entlassen müssen.",Non-Propaganda,0
951,56615538,1884636539440791836,"Wir stehen ganz kurz davor, dass _FriedrichMerz das auch im Bundestag macht.",Non-Propaganda,0
422,56615744,1882472597788791006,Olaf Scholz' Statement zum Anschlag in Aschaffenburg:,Non-Propaganda,0
1584,56066688,1878379101607612499,"In Hessen lässt die CDU-Regierung trotz zahlreicher Klagen bis zu 200 Jahre alte Bäume im legendären Reinhardswald der Gebrüder Grimm für riesige, 240 Meter hohe Windräder abholzen!",Propaganda,1
160,56123218,1882804076188205377,"Wir können darauf antworten, dagegen halten und eine standhafte Klimapolitik vertreten – als Europa und als Weltgemeinschaft.",Propaganda,1
449,56296883,1888208639304802687,._FriedrichMerz zieht beim CSU-Parteitag eine bittere Ampel-Bilanz:,Propaganda,1
514,56122946,1876226369199211010,Bisher haben knapp 32.000 Menschen ihre Mieten bei uns abgeglichen.,Non-Propaganda,0
1685,55973268,1891196086011723832,Werbung vor dem Quadrell können wir auch:,Non-Propaganda,0
175,56126069,1876258500726116596,Das Finanzamt darf nicht länger die gesetzliche Rente schreddern!,Propaganda,1
416,56616990,1884911358208045565,.roberthabeck findet im Bundestag klare Worte zu der fatalen gemeinsamen Abstimmung von Union und AfD und den Auswirkungen auf unsere Wirtschaft,Propaganda,1
1202,56122570,1884882332294754380,All unsere Forderungen im Bundestag wurden systematisch blockiert.,Non-Propaganda,0
1845,56123846,1888680909534072934,Pflegeheime dürfen keine unkalkulierbare finanzielle Belastung für Pflegebedürftige und ihre Angehörigen sein.,Non-Propaganda,0
465,56122088,1886755640934035568,Die Linke ist zurück!,Non-Propaganda,0
318,56617342,1892278808365183324,10.000 Mal Gesicht gezeigt – DAS ist ein Statement!,Non-Propaganda,0
1724,56123807,1884494246859755810,"Stell dir vor, du hättest einen Wunsch frei, um diese Welt ein bisschen besser zu machen.",Non-Propaganda,0
771,56618642,1888692983274332395,Bilanz: Merz bleibt ungewöhnlich blass zur Wirtschaftswende und ambivalent zu Grünen.,Propaganda,1
1503,56065653,1889251609999183958,Beim Wirtschaftswarntag war er nicht da.,Non-Propaganda,0
219,56069328,1890081329188073864,"Sie wird dort mit Scholz, Merz und Habeck diskutieren.",Non-Propaganda,0
180,56621286,1889272927566103013,Ausländische Arbeitskräfte tragen zum wirtschaftlichen Wohlstand bei uns bei.,Propaganda,1
430,56066933,1886698788162617588,"Freu mich über diesen Aufruf von Wissenschaftlerinnen und Wissenschaftlern, uns von dieLinke zu wählen.",Propaganda,1
1259,56123904,1873322960779375016,Die Bürger verdienen Schutz und Sicherheit.,Propaganda,1
448,56122082,1881975035084087651,"Asyl ist Aufenthalt auf Zeit und endet, wenn der Fluchtgrund entfällt.",Non-Propaganda,0
954,56123763,1875195414703419864,Deshalb werden wir Gesetze zum Bürokratieabbau als echte Entrümpelungsgesetze beschließen.,Propaganda,1
3,56065729,1889227321133203719,Wer erklärt ihm den Widerspruch in dieser Aussage?,Non-Propaganda,0
1487,56068364,1886419839754871004,Die grüne Außenministerin.,Non-Propaganda,0
1691,56623201,1885985988725346463,Deutschland muss nun das Gespräch mit Washington suchen.,Non-Propaganda,0
1018,56304836,1884656694334046653,Sagt der Name Walter Lübcke Ihnen denn noch irgendwas?“ fragte unsere Spitzenkandidatin HeidiReichinnek im Bundestag Merz und die MdBs der CDU/CSU.,Non-Propaganda,0
1586,56068238,1885819747142430769,Diese Woche zeigt erneut:,Non-Propaganda,0
239,56594681,1891606518908453019,Die Renten sollen weiter so steigen wie die Löhne.,Non-Propaganda,0
1757,56616179,1890139457845686556,"Die AfD ist mit 10,4 Prozent in den Deutschen Bundestag gekommen.",Non-Propaganda,0
1821,56123227,1879825710036222414,Im Innenausschuss setzt der Bundestag heute die parlamentarische Aufarbeitung des Anschlags von Magdeburg fort.,Non-Propaganda,0
1870,56121478,1887407345711407483,Die berlinerzeitung berichtet über meine Anfrage zum europäischen Haftbefehl gegen die vom Generalbundesanwalt für die Nord Stream Sprengung verantwortlich gemachten Energie-Terroristen.,Propaganda,1
1034,56121959,1882381832668557665,"In diesen Minuten, wo wir uns hier treffen, meine Damen und Herren, laufen in Deutschland Täter wie die von gestern frei herum.",Propaganda,1
1884,56067022,1877291604312048058,"Auch deutsche Unternehmen sollten sich wieder voll darauf konzentrieren, Gewinne zu erzielen und keine wertvollen Ressourcen für linke Ideologien verschwenden!",Propaganda,1
1216,56067480,1888665185470054441,"Vor dem TVDuell ist Heidi Reichinnek beim BerichtausBerlin: ""Wir machen das Leben für die Menschen bezahlbarer und helfen konkret.",Propaganda,1
683,56617120,1892153088741412914,Kaloyan Velkov SayTheirNames Hanau,Non-Propaganda,0
691,56594686,1888175168960274714,Hier könnt Ihr die MerzRede live verfolgen:,Non-Propaganda,0
655,56123258,1888686844176412879,"Wenn wir nur ein Viertel davon zurückholen in den Arbeitsmarkt, sind es 400.000, die wir im Arbeitsmarkt gut gebrauchen könnten.",Non-Propaganda,0
1337,56068753,1889049043126366392,Weil man nicht in eine Krise hineinsparen darf.,Propaganda,1
242,56617089,1888216233289359667,"Und auch wenn es so etwas wie Leihstimmen gäbe, wir wollen als FDP keine von Union.",Non-Propaganda,0
323,56626852,1888891309148025305,"Warum ich die Debatte darüber mehr als albern finde und man damit nur die AfD stark macht, begründe ich im Bericht aus Berlin:",Non-Propaganda,0
1405,56619691,1881699821230408070,"CDU & CSU haben das abgelehnt, denn sie wollen es nicht.",Non-Propaganda,0
661,56619496,1879106985402278307,"Es geht um die Frage, wie er die Zukunft Deutschlands gestalten möchte er spricht über unseren „Made in Germany“-Bonus, Steuerentlastungen für die 95% und den Deutschlandfonds.",Propaganda,1
1348,56620193,1888684819644895536,Was für ein Desaster für den ehemaligen Finanzminister und jetzigen Noch-Kanzler Olaf Scholz: Ein verfassungswidriger Bundeshaushalt.,Propaganda,1
614,56621804,1891235754820661759,Mit unseren Vorschlägen entlasten wir 95 Prozent der Bürgerinnen und Bürger in unserem Land.,Propaganda,1
1179,56620066,1893388869917159604,"Wer nur Ängste schürt, bietet keine Lösungen.",Propaganda,1
398,56123526,1887071978856620229,"Grönland, Gaza-Strip (Trump“Everybody loves the idea!“ )",Propaganda,1
1314,56121744,1875833831271395706,"Die Deckelung der Netzentgelte, womit wir mehr Planungssicherheit bei den Energiekosten schaffen, kann jetzt noch umgesetzt werden.",Non-Propaganda,0
672,56065863,1880585086200082480,"Es ist klug, sich finanziellen Spielraum zu bewahren.",Non-Propaganda,0
581,56118512,1883895944577679682,"Bedauernswert ist, dass sich Rot-Grün einem Schulterschluss weiterhin verweigert.",Non-Propaganda,0
506,56065700,1885373724372738288,"Während sich die AfD heute geschlossen für die Interessen der Menschen in Deutschland eingesetzt hat, beschädigten die etablierten Parteien mit ihrer unwürdigen Debatte das Ansehen des Bundestags.",Propaganda,1
984,56123275,1885610938297995568,"Zum Thema Wirtschaft unterstreicht _FriedrichMerz: „Wir müssen dringend über das Thema Wettbewerbsfähigkeit der europäischen Industrie sprechen, denn wir werden uns gegenüber Amerika neu aufstellen müssen.",Propaganda,1
944,56068830,1882767162311680435,"Statt hier die Posten und Kosten explodieren zu lassen, sollte man für mehr Personal in Schulen, bei der Polizei oder in Jugendämtern sorgen!",Propaganda,1
1002,56297244,1889236177435181215,Mehr dazu im Video.,Non-Propaganda,0
28,56299417,1886800575121015180,Mit klaren Regeln gegen unfaire internationale Konkurrenz.,Propaganda,1
302,56123461,1889234357312688550,Die Senkung der Mehrwertsteuer auf Lebensmittel und ein höheres Kindergeld kommen da noch obendrauf!,Non-Propaganda,0
1115,56296573,1880225625451163760,"Vor allen Dingen wollen wir, dass er sich aus Bildungsinstitutionen mit seinem ganzen Genderquatsch und Diversity zurückzieht.",Propaganda,1
468,56065374,1884623383276470365,"Herr Merz, wollen Sie wirklich derjenige sein, der der AfD von Weidel und Höcke die Tür zur Macht öffnet?",Non-Propaganda,0
909,56065564,1893404985209299224,Was für ein Vertrauenszuspruch.,Non-Propaganda,0
634,56125571,1884503794743947465,"Das Prinzip muss gelten, für alle.",Non-Propaganda,0
338,56615957,1885725307354710223,"Kandidatencheck zur Wahl: Warum unser Land eine Atempause bei der Migration nötig hat und warum das BSW für einen starken Sozialstaat eintritt und als Gegenkraft zu den alten Parteien dringend gebraucht wird, begründe ich im Spiegel-Spitzengespräch:",Propaganda,1
1419,56067739,1875828853169647953,"Sei live dabei, wenn unser Generalsekretär Matthias Miersch gleich unsere Kampagne vorstellt:",Non-Propaganda,0
959,56615666,1890705272596758530,Mit der FDP im Bundestag ist eine Regierung mit Grünen ausgeschlossen.,Non-Propaganda,0
1004,56616985,1882212511216537995,"Es folgte nur nie etwas, weil er sich in technischen Details verliert und die linken Flügel von Rot-Grün alles verwässern und verzögern.",Propaganda,1
900,56068281,1892233479716286915,Sowohl die Warburg Spenden wie auch die Spenden einer Rheinmetall Tochter riechen streng nach illegalen Einflussspenden.,Propaganda,1
773,56616519,1880958119502839911,"Gut besuchte Veranstaltungen, Neueintritte, viele kleine und große Spenden und eine Rekordauflage bei den Plakaten, die unsere Ehrenamtlichen aufhängen wollen.",Non-Propaganda,0
1365,56617803,1876237857289023685,"Bildung zu stärken bedeutet, den Menschen ein Leben auch in der Unabhängigkeit vom Staat und seinen Systemen zu eröffnen“, so c_lindner bei 3K25.",Propaganda,1
1375,56067626,1873454087020421149,Warum diese Doppelmoral?,Non-Propaganda,0
1139,56119289,1878134117960712533,Mit der SPD ist vieles möglich – auch niedrigere Preise.,Propaganda,1
476,56123741,1892613056896581737,"Ich weiß nicht, wie Shiri Bibas (33), ihre Söhne Ariel und Kfir (zum Zeitpunkt der Entführung vier Jahre und neun Monate alt) und Oded Lifshitz (84) in Gefangenschaft ums Leben gekommen sind.",Non-Propaganda,0
